Designator,Mid X,Mid Y,Rotation,Layer
D1,64.6,-29.8,0.0,top
D10,88.675,-65.9125,0.0,top
D11,36.5125,-81.9625,0.0,top
D12,52.5625,-81.9625,0.0,top
D13,68.6125,-81.9625,0.0,top
D14,88.675,-81.9625,0.0,top
D15,36.5125,-98.0125,0.0,top
D16,52.5625,-98.0125,0.0,top
D17,68.6125,-98.0125,0.0,top
D18,88.675,-98.0125,0.0,top
D2,80.65,-29.8,0.0,top
D3,36.5125,-49.8625,0.0,top
D4,52.5625,-49.8625,0.0,top
D5,68.6125,-49.8625,0.0,top
D6,88.675,-49.8625,0.0,top
D7,36.5125,-65.9125,0.0,top
D8,52.5625,-65.9125,0.0,top
D9,68.6125,-65.9125,0.0,top
SW1,64.2,-32.1,0.0,top
SW10,88.275,-68.2125,0.0,top
SW11,36.1125,-84.2625,0.0,top
SW12,52.1625,-84.2625,0.0,top
SW13,68.2125,-84.2625,0.0,top
SW14,88.275,-84.2625,0.0,top
SW15,36.1125,-100.3125,0.0,top
SW16,52.1625,-100.3125,0.0,top
SW17,68.2125,-100.3125,0.0,top
SW18,88.275,-100.3125,0.0,top
SW2,80.25,-32.1,0.0,top
SW3,36.1125,-52.1625,0.0,top
SW4,52.1625,-52.1625,0.0,top
SW5,68.2125,-52.1625,0.0,top
SW6,88.275,-52.1625,0.0,top
SW7,36.1125,-68.2125,0.0,top
SW8,52.1625,-68.2125,0.0,top
SW9,68.2125,-68.2125,0.0,top
U1,38.11875,-34.08875,90.0,top
